Date,Open,High,Low,Close,Adj Close,Volume
1992-02-03,9.125000,9.125000,7.812500,7.812500,5.141247,18720200
1992-02-10,7.875000,8.187500,7.500000,7.812500,5.141247,3616400
1992-02-17,7.875000,8.000000,7.750000,7.937500,5.223508,1874800
1992-02-24,7.937500,8.000000,7.562500,7.750000,5.100119,1804000
1992-03-02,7.625000,7.937500,7.625000,7.812500,5.141247,1093600
1992-03-09,7.750000,7.812500,7.687500,7.687500,5.058990,471600
1992-03-16,7.750000,7.750000,7.125000,7.250000,4.771079,668200
1992-03-23,7.125000,7.937500,6.750000,7.312500,4.812208,1308000
1992-03-30,7.375000,7.562500,7.062500,7.312500,4.812208,2368600
1992-04-06,7.437500,7.437500,6.437500,6.750000,4.442039,1059200
1992-04-13,6.812500,7.312500,6.625000,6.937500,4.565428,582000
1992-04-20,6.937500,6.937500,5.625000,5.812500,3.825089,989000
1992-04-27,5.750000,6.937500,5.687500,6.687500,4.400908,2256400
1992-05-04,6.750000,6.937500,6.437500,6.500000,4.277518,716800
1992-05-11,6.437500,6.937500,6.062500,6.187500,4.071871,2264200
1992-05-18,6.250000,6.312500,5.812500,6.312500,4.154130,29495600
1992-05-25,6.312500,6.437500,6.000000,6.437500,4.236391,11658400
1992-06-01,6.375000,6.437500,6.250000,6.250000,4.113000,11111000
1992-06-08,6.250000,6.375000,6.000000,6.125000,4.030740,7420200
1992-06-15,6.062500,6.187500,5.687500,6.125000,4.030740,8747600
1992-06-22,6.062500,6.312500,5.937500,6.312500,4.154130,7038200
1992-06-29,6.187500,6.625000,6.187500,6.437500,4.236391,4643600
1992-07-06,6.312500,6.437500,6.062500,6.312500,4.154130,7448800
1992-07-13,6.375000,7.000000,6.312500,6.625000,4.359777,5317800
1992-07-20,6.562500,6.875000,6.437500,6.750000,4.442039,3257600
1992-07-27,6.687500,7.062500,6.625000,6.937500,4.565428,3334000
1992-08-03,7.000000,7.250000,6.750000,7.000000,4.606561,3467000
1992-08-10,7.000000,7.250000,6.875000,7.250000,4.771079,9518200
1992-08-17,7.250000,7.250000,6.812500,6.875000,4.524299,5018200
1992-08-24,6.750000,6.875000,6.250000,6.875000,4.524299,2304800
1992-08-31,6.812500,7.250000,6.500000,7.000000,4.606561,4109400
1992-09-07,6.875000,7.062500,6.875000,7.000000,4.606561,2247200
1992-09-14,7.062500,7.250000,7.000000,7.125000,4.688818,3609000
1992-09-21,7.187500,7.187500,6.687500,6.812500,4.483168,2101400
1992-09-28,6.875000,7.125000,6.687500,6.812500,4.483168,1712000
1992-10-05,6.750000,7.750000,6.437500,7.500000,4.935600,7478200
1992-10-12,7.437500,8.250000,7.125000,8.000000,5.264640,9306000
1992-10-19,8.000000,8.062500,7.437500,7.875000,5.182380,5946000
1992-10-26,7.937500,8.625000,7.812500,8.437500,5.552549,7119600
1992-11-02,8.375000,8.812500,8.375000,8.562500,5.634811,8463400
1992-11-09,8.437500,8.875000,8.187500,8.562500,5.634811,14258400
1992-11-16,8.562500,8.687500,8.312500,8.687500,5.717068,11103400
1992-11-23,8.750000,9.625000,8.687500,9.437500,6.210630,7986800
1992-11-30,9.500000,9.625000,9.125000,9.562500,6.292889,8181000
1992-12-07,9.625000,9.625000,8.687500,9.062500,5.963850,4410600
1992-12-14,8.875000,9.312500,8.875000,9.250000,6.087242,5909200
1992-12-21,9.312500,9.875000,9.312500,9.750000,6.416277,3582600
1992-12-28,9.687500,10.062500,9.375000,9.875000,6.498539,5106400
1993-01-04,10.062500,10.312500,9.500000,10.312500,6.786448,14984400
1993-01-11,10.187500,10.750000,10.125000,10.687500,7.033226,6842600
1993-01-18,10.750000,10.750000,10.125000,10.312500,6.786448,7228000
1993-01-25,10.250000,10.312500,10.062500,10.187500,6.704190,3307600
1993-02-01,10.250000,11.375000,10.187500,10.562500,6.950967,7597800
1993-02-08,10.500000,10.625000,9.875000,10.437500,6.868711,5579400
1993-02-15,10.375000,10.375000,9.500000,9.937500,6.539671,7645800
1993-02-22,9.562500,9.875000,8.875000,9.437500,6.210630,8265000
1993-03-01,9.562500,10.000000,9.375000,10.000000,6.580799,3661600
1993-03-08,10.062500,11.000000,10.000000,10.687500,7.033226,11697000
1993-03-15,10.687500,10.687500,10.000000,10.000000,6.580799,2584600
1993-03-22,10.000000,10.312500,9.937500,10.250000,6.745322,4162200
1993-03-29,10.375000,10.812500,9.812500,10.000000,6.580799,3981400
1993-04-05,10.125000,10.125000,9.625000,10.000000,6.580799,3228200
1993-04-12,10.000000,10.187500,9.250000,9.312500,6.128369,5928800
1993-04-19,9.312500,9.625000,9.125000,9.312500,6.128369,5913200
1993-04-26,9.187500,10.062500,8.687500,9.875000,6.498539,4639200
